202101,29940,2250,149,6443,3373,230,1702,142,23,381078,0
202102,21939,1676,105,5160,2297,138,1197,105,9,30027,0
202103,36709,2604,197,8582,4121,264,2261,197,28,41483,0
202104,31258,2031,176,6983,3726,191,1917,159,31,34432,0
202105,27795,1721,129,5689,3684,321,1508,184,29,43503,0
202106,27394,1611,154,5028,4513,375,1194,189,38,33124,0
202107,26295,1333,175,4863,4271,341,1379,211,29,33134,0
202108,23989,1546,173,4222,3352,283,1282,204,36,964,0
202109,19207,1276,119,2523,2800,177,1058,196,33,25912,0
202110,21153,1899,429,3897,3140,519,3146,376,840,33266,0
202111,26008,2315,264,3436,2904,426,2483,226,240,30114,5061
202112,29919,3449,552,5122,3775,1037,4950,317,961,29276,251
